class,type,name,showif,block_order,item_order,value,label,optional,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9
mc_vertical answer_below_label,mc educacion,educ_vineta_b1a,ran_group == 2,A,9,,"Pensando en el mismo estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_b1a,ran_group == 2,A,10,,¿Crees que Lucas logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig7,ran_group == 2,A,12,,continuar,,,,,,,,,,
,note,est_b1b,ran_group == 2,B,1,,"**Sofía** es **una niña Chilena** y forma parte de tu curso. En clases, **ella** se mantiene atenta al desarrollo de las actividades. Participa activamente levantando la mano y suele dar respuestas claras y bien fundamentadas. Es probable que sea la mejor de su curso en matemáticas. A **ella** le es fácil concentrarse y contribuye al desarrollo de la clase con preguntas y comentarios. **Sofía** entrega puntualmente sus tareas, cuidando la presentación y el contenido. Además, se integra fácilmente en la comunidad escolar. Su desempeño en lenguaje es uno de los más altos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_b1b,ran_group == 2,B,2,,¿De qué nacionalidad es esta estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_b1b,ran_group == 2,B,3,,¿Cuál es el sexo de esta estudiante?,,Mujer,Hombre,,,,,,,
,note,note_b1b,ran_group == 2,B,4,,"Considerando a esta estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list2sofia,ran_group == 2,B,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b1b,ran_group == 2,B,6,,Creo que Sofía obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b2b,ran_group == 2,B,6,,Creo que Sofía es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b3b,ran_group == 2,B,6,,Creo que Sofía será una de las mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b4b,ran_group == 2,B,6,,Sofía podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b5b,ran_group == 2,B,6,,Sofía podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b6b,ran_group == 2,B,6,,Sofía podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b7b,ran_group == 2,B,6,,Sofía podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_b1b,ran_group == 2,B,7,,¿Cómo evaluaría el rendimiento de Sofía en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_b1b,ran_group == 2,B,8,,¿Cómo evaluaría el rendimiento de Sofía en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_b1b,ran_group == 2,B,9,,"Pensando en la misma estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_b1b,ran_group == 2,B,10,,¿Crees que Sofía logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig8,ran_group == 2,B,11,,continuar,,,,,,,,,,
,note,est_b1c,ran_group == 2,C,1,,"**Stevenson** es **un niño Haitiano** y forma parte de tu curso. En clases, **él** se mantiene atento al desarrollo de las actividades. Participa activamente levantando la mano y suele dar respuestas claras y bien fundamentadas. Es probable que sea el mejor de su curso en matemáticas. A **él** le es fácil concentrarse y contribuye al desarrollo de la clase con preguntas y comentarios. **Stevenson** entrega puntualmente sus tareas, cuidando la presentación y el contenido. Además, se integra fácilmente en la comunidad escolar. Su desempeño en lenguaje es uno de los más altos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_b1c,ran_group == 2,C,2,,¿De qué nacionalidad es este estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_b1c,ran_group == 2,C,3,,¿Cuál es el sexo de este estudiante?,,Mujer,Hombre,,,,,,,
,note,note_b1c,ran_group == 2,C,4,,"Considerando a este estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list2stevenson,ran_group == 2,C,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b1c,ran_group == 2,C,6,,Creo que Stevenson obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b2c,ran_group == 2,C,6,,Creo que Stevenson es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b3c,ran_group == 2,C,6,,Creo que Stevenson será uno de los mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b4c,ran_group == 2,C,6,,Stevenson podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b5c,ran_group == 2,C,6,,Stevenson podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b6c,ran_group == 2,C,6,,Stevenson podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b7c,ran_group == 2,C,6,,Stevenson podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_b1c,ran_group == 2,C,7,,¿Cómo evaluaría el rendimiento de Stevenson en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_b1c,ran_group == 2,C,8,,¿Cómo evaluaría el rendimiento de Stevenson en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_b1c,ran_group == 2,C,9,,"Pensando en el mismo estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_b1c,ran_group == 2,C,10,,¿Crees que Stevenson logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig9,ran_group == 2,C,11,,continuar,,,,,,,,,,
,note,est_b1d,ran_group == 2,D,1,,"**Widelene** es ** una niña Haitiana** y forma parte de tu curso. En clases, **ella** se mantiene atenta al desarrollo de las actividades. Participa activamente levantando la mano y suele dar respuestas claras y bien fundamentadas. Es probable que sea la mejor de su curso en matemáticas. A **ella** le es fácil concentrarse y contribuye al desarrollo de la clase con preguntas y comentarios. **Widelene** entrega puntualmente sus tareas, cuidando la presentación y el contenido. Además, se integra fácilmente en la comunidad escolar. Su desempeño en lenguaje es uno de los más altos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_b1d,ran_group == 2,D,2,,¿De qué nacionalidad es esta estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_b1d,ran_group == 2,D,3,,¿Cuál es el sexo de esta estudiante?,,Mujer,Hombre,,,,,,,
,note,note_b1d,ran_group == 2,D,4,,"Considerando a esta estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list2widelene,ran_group == 2,D,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b1d,ran_group == 2,D,6,,Creo que Widelene obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b2d,ran_group == 2,D,6,,Creo que Widelene es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b3d,ran_group == 2,D,6,,Creo que Widelene será una de las mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b4d,ran_group == 2,D,6,,Widelene podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b5d,ran_group == 2,D,6,,Widelene podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b6d,ran_group == 2,D,6,,Widelene podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b7d,ran_group == 2,D,6,,Widelene podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_b1d,ran_group == 2,D,7,,¿Cómo evaluaría el rendimiento de Widelene en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_b1d,ran_group == 2,D,8,,¿Cómo evaluaría el rendimiento de Widelene en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_b1d,ran_group == 2,D,9,,"Pensando en la misma estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_b1d,ran_group == 2,D,10,,¿Crees que Widelene logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig10,ran_group == 2,D,11,,continuar,,,,,,,,,,
,note,est_b1e,ran_group == 2,E,1,,"**Yi-Jun** es **un niño Sur-coreano** y forma parte de tu curso. En clases, **él** se mantiene atento al desarrollo de las actividades. Participa activamente levantando la mano y suele dar respuestas claras y bien fundamentadas. Es probable que sea el mejor de su curso en matemáticas. A **él** le es fácil concentrarse y contribuye al desarrollo de la clase con preguntas y comentarios. **Yi-Jun** entrega puntualmente sus tareas, cuidando la presentación y el contenido. Además, se integra fácilmente en la comunidad escolar. Su desempeño en lenguaje es uno de los más altos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_b1e,ran_group == 2,E,2,,¿De qué nacionalidad es este estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_b1e,ran_group == 2,E,3,,¿Cuál es el sexo de este estudiante?,,Mujer,Hombre,,,,,,,
,note,note_b1e,ran_group == 2,E,4,,"Considerando a este estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list2juno,ran_group == 2,E,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b1e,ran_group == 2,E,6,,Creo que Yi-Jun obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b2e,ran_group == 2,E,6,,Creo que Yi-Jun es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b3e,ran_group == 2,E,6,,Creo que Yi-Jun será uno de los mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b4e,ran_group == 2,E,6,,Yi-Jun podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b5e,ran_group == 2,E,6,,Yi-Jun podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b6e,ran_group == 2,E,6,,Yi-Jun podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b7e,ran_group == 2,E,6,,Yi-Jun podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_b1e,ran_group == 2,E,7,,¿Cómo evaluaría el rendimiento de Yi-Jun en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_b1e,ran_group == 2,E,8,,¿Cómo evaluaría el rendimiento de Yi-Jun en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_b1e,ran_group == 2,E,9,,"Pensando en el mismo estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_b1e,ran_group == 2,E,10,,¿Crees que Yi-Jun logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig11,ran_group == 2,E,11,,continuar,,,,,,,,,,
,note,est_b1f,ran_group == 2,F,1,,"**Yi-Seo** es **una niña Sur-coreana** y forma parte de tu curso. En clases, **ella** se mantiene atenta al desarrollo de las actividades. Participa activamente levantando la mano y suele dar respuestas claras y bien fundamentadas. Es probable que sea la mejor de su curso en matemáticas. A **ella** le es fácil concentrarse y contribuye al desarrollo de la clase con preguntas y comentarios. **Yi-Seo** entrega puntualmente sus tareas, cuidando la presentación y el contenido. Además, se integra fácilmente en la comunidad escolar. Su desempeño en lenguaje es uno de los más altos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_b1f,ran_group == 2,F,2,,¿De qué nacionalidad es esta estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_b1f,ran_group == 2,F,3,,¿Cuál es el sexo de esta estudiante?,,Mujer,Hombre,,,,,,,
,note,note_b1f,ran_group == 2,F,4,,"Considerando a esta estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list2seo,ran_group == 2,F,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b1f,ran_group == 2,F,6,,Creo que Yi-Seo obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b2f,ran_group == 2,F,6,,Creo que Yi-Seo es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b3f,ran_group == 2,F,6,,Creo que Yi-Seo será una de las mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b4f,ran_group == 2,F,6,,Yi-Seo podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b5f,ran_group == 2,F,6,,Yi-Seo podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b6f,ran_group == 2,F,6,,Yi-Seo podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b7f,ran_group == 2,F,6,,Yi-Seo podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_b1f,ran_group == 2,F,7,,¿Cómo evaluaría el rendimiento de Yi-Seo en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_b1f,ran_group == 2,F,8,,¿Cómo evaluaría el rendimiento de Yi-Seo en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_b1f,ran_group == 2,F,9,,"Pensando en la misma estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_b1f,ran_group == 2,F,10,,¿Crees que Yi-Seo logrará estudiar lo que quiere?,,,,,,,,,,
,submit,inicio_02,ran_group == 2,F,11,,continuar,,,,,,,,,,
,note,mod04,,,,,## Preguntas de atención,,,,,,,,,,
mc_vertical answer_below_label,mc atencion,atencion1,,,,,"Si está prestando atención a las instrucciones de esta encuesta, por favor seleccione el valor 5 en las opciones de respuesta de este ítem. ",,,,,,,,,,
,submit,inicio_03,,,,,continuar,,,,,,,,,,
,note,mod05,,,,,## Variables de interés,,,,,,,,,,
,note,text05,,,,,"Las siguientes preguntas tienen como objetivo conocer su opinión respecto a conflictos grupales, conciencia, afecto grupal y estereotipos entre distintos grupos sociales.",,,,,,,,,,
,note,gconflict,,,,,"En cada país hay diferencias entre grupos sociales. ¿En su opinión, qué tan fuerte es el conflicto entre... ",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading gconflict,choice_listgconflict,,,,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gconflict,gconflict_01,,G,13,,Personas de diferentes razas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gconflict,gconflict_02,,G,13,,Chilenos/as e inmigrantes,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gconflict,gconflict_03,,G,13,,Chilenos/as y venezolanos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gconflict,gconflict_04,,G,13,,Chilenos/as y peruanos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gconflict,gconflict_05,,G,13,,Chilenos/as y haitianos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gconflict,gconflict_06,,G,13,,Chilenos/as y bolivianos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gconflict,gconflict_07,,G,13,,Chilenos/as y colombianos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gconflict,gconflict_08,,G,13,,Chilenos/as y europeos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gconflict,gconflict_09,,G,13,,Chilenos/as y asiáticos/as,,,,,,,,,,
,note,gc_commonality,,,,,"¿Qué tan cerca se siente de cada uno de los siguientes grupos de personas respecto a sus ideas, intereses y sentimientos? Considere una escala que va desde “Muy lejos” a “Muy cerca”.",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading gc_commonality,choice_listgc_commonality,,,,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_commonality,gc_commonality_01,,H,14,,Chilenos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_commonality,gc_commonality_02,,H,14,,Inmigrantes,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_commonality,gc_commonality_03,,H,14,,Venezolanos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_commonality,gc_commonality_04,,H,14,,Peruanos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_commonality,gc_commonality_05,,H,14,,Haitianos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_commonality,gc_commonality_06,,H,14,,Bolivianos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_commonality,gc_commonality_07,,H,14,,Colombianos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_commonality,gc_commonality_08,,H,14,,Europeos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_commonality,gc_commonality_09,,H,14,,Asiáticos/as,,,,,,,,,,
mc_vertical answer_below_label,mc likert,gc_collectiva,,,,,¿Cuán de acuerdo está con la siguiente afirmación?: Es importante que las personas trabajen juntas para mejorar la posición de su grupo racial o étnico.,,,,,,,,,,
,note,gc_discrimination,,,,,¿Cuánta discriminación o trato injusto cree que enfrentan los diferentes grupos en el país?,,,,,,,,,,
space_bottom_15 mc_width100,mc_heading gc_discrimination,choice_listgc_discrimination,,,,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_discrimination,gc_discrimination_01,,I,15,,Chilenos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_discrimination,gc_discrimination_02,,I,15,,Inmigrantes,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_discrimination,gc_discrimination_03,,I,15,,Venezolanos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_discrimination,gc_discrimination_04,,I,15,,Peruanos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_discrimination,gc_discrimination_05,,I,15,,Haitianos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_discrimination,gc_discrimination_06,,I,15,,Bolivianos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_discrimination,gc_discrimination_07,,I,15,,Colombianos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_discrimination,gc_discrimination_08,,I,15,,Europeos/as,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc gc_discrimination,gc_discrimination_09,,I,15,,Asiáticos/as,,,,,,,,,,
mc_vertical answer_below_label,mc likert_2,lfate_migrante,,,,,¿Considera que lo que sucede generalmente con los/as inmigrantes en este país tiene algo que ver con lo que sucede en su vida personal?,,,,,,,,,,
mc_vertical answer_below_label,mc likert_2,lfate_minorias,,,,,¿Considera que lo que sucede generalmente con las minorías raciales y étnicas en este país tiene algo que ver con lo que sucede en su vida personal?,,,,,,,,,,
,note,gaffect,,,,,"En una escala de 1 (""muy malo"") al 10 (""muy bueno""), cuáles son sus sentimientos hacia los siguientes grupos sociales.",,,,,,,,,,
,"rating_button 1,10,1",gaffect_01,,J,16,,Chilenos/as,,Muy malo,Muy bueno,,,,,,,
,"rating_button 1,10,1",gaffect_02,,J,16,,Inmigrantes,,Muy malo,Muy bueno,,,,,,,
,"rating_button 1,10,1",gaffect_03,,J,16,,Venezolanos/as,,Muy malo,Muy bueno,,,,,,,
,"rating_button 1,10,1",gaffect_04,,J,16,,Peruanos/as,,Muy malo,Muy bueno,,,,,,,
,"rating_button 1,10,1",gaffect_05,,J,16,,Haitianos/as,,Muy malo,Muy bueno,,,,,,,
,"rating_button 1,10,1",gaffect_06,,J,16,,Bolivianos/as,,Muy malo,Muy bueno,,,,,,,
,"rating_button 1,10,1",gaffect_07,,J,16,,Colombianos/as,,Muy malo,Muy bueno,,,,,,,
,"rating_button 1,10,1",gaffect_08,,J,16,,Europeos/as,,Muy malo,Muy bueno,,,,,,,
,"rating_button 1,10,1",gaffect_09,,J,16,,Asiáticos/as,,Muy malo,Muy bueno,,,,,,,
,note,egenero,,,,,"Comparando a estudiantes hombres y mujeres, a quiénes en tu opinión:",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading egenero,choice_listegenero,,,,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc egenero,egenero_01,,K,17,,Les va bien en matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc egenero,egenero_02,,K,17,,Les cuesta comprender matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc egenero,egenero_03,,K,17,,Tienen talento para las matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc egenero,egenero_04,,K,17,,Les gustan las matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc egenero,egenero_05,,K,17,,Comprenden fácilmente las ideas matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc egenero,egenero_06,,K,17,,Obtienen mejores notas en matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc egenero,egenero_07,,K,17,,Se suelen equivocar en tareas relacionadas con matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc egenero,egenero_08,,K,17,,Necesitan ayuda para comprender las ideas matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc egenero,egenero_09,,K,17,,Deben esforzarse para que les vaya bien en matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_16,mc egenero,egenero_10,,K,17,,Encuentran difícil las matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_17,mc egenero,egenero_11,,K,17,,Tienen facilidad para comprender matemáticas,,,,,,,,,,
,note,emigrante,,,,,"Comparando a estudiantes migrantes latinoamericanos/as y chilenos/as, a quiénes en tu opinión:",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading emigrante,choice_listemigrante,,,,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc emigrante,emigrante_01,,L,18,,Les va bien en matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc emigrante,emigrante_02,,L,18,,Les cuesta comprender matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc emigrante,emigrante_03,,L,18,,Tienen talento para las matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc emigrante,emigrante_04,,L,18,,Les gustan las matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc emigrante,emigrante_05,,L,18,,Comprenden fácilmente las ideas matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc emigrante,emigrante_06,,L,18,,Obtienen mejores notas en matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc emigrante,emigrante_07,,L,18,,Se suelen equivocar en tareas relacionadas con matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc emigrante,emigrante_08,,L,18,,Necesitan ayuda para comprender las ideas matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc emigrante,emigrante_09,,L,18,,Deben esforzarse para que les vaya bien en matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_16,mc emigrante,emigrante_10,,L,18,,Encuentran difícil las matemáticas,,,,,,,,,,
hide_label mc_width100 space_bottom_17,mc emigrante,emigrante_11,,L,18,,Tienen facilidad para comprender matemáticas,,,,,,,,,,
,submit,inicio_04,,,,,continuar,,,,,,,,,,
,note,mod06,,,,,## Preguntas de atención,,,,,,,,,,
mc_vertical answer_below_label,mc_multiple,atencion2,,,,,"Nos gustaría tener un sentido general de sus preferencias.
Teorías modernas sobre la toma de decisiones reconocen que las decisiones no ocurren en el vacío. Las preferencias individuales y el conocimiento pueden afectar significativamente el proceso de toma de decisiones. Para demostrar que usted ha leído este texto, le pedimos que para la siguiente pregunta seleccione “rojo” y “verde”, sin tomar en cuenta cuál es su color favorito. Sí, ignore la siguiente pregunta y seleccione solo “rojo” y “verde”. 
¿Cuál es tu color favorito?",,Blanco,Negro,Rojo,Rosado,Verde,Azul,,,
,submit,inicio_05,,,,,continuar,,,,,,,,,,
,note,mod07,,,,,## Características en educación,,,,,,,,,,
,note,head13,,,,,"A continuación, le haremos algunas preguntas sobre su situación laboral como docente, las características del colegio y sus percepciones acerca de sus estudiantes. Si enseña en más de un colegio, considere en el que realiza la mayor cantidad de horas.",,,,,,,,,,
mc_vertical answer_below_label,mc depe,depe,,,,,¿Qué tipo de dependencia tiene este colegio?,,,,,,,,,,
answer_below_label,text,depe_esp,depe==5,,,,Especifique,,,,,,,,,,
answer_below_label,number,exp_colegio,,,,,¿Cuántos años lleva trabajando en este colegio?,,,,,,,,,,
answer_below_label,number,exp_sistema,,,,,¿Cuántos años lleva trabajando como docente? Considere toda su trayectoria profesional. ,,,,,,,,,,
mc_vertical answer_below_label,mc contrato,contrato,,,,,¿Qué tipo de contrato tiene en este establecimiento?,,,,,,,,,,
mc_vertical answer_below_label,mc,horario,,,,,¿Cuántas horas a la semana trabaja en este colegio?,,Tiempo completo (más de 35 hrs.),Part time (entre 20 y 35 hrs.),Menos de 20 hrs.,,,,,,
mc_vertical answer_below_label,mc porc_migrante,porc_migrante,,,,,"Aproximadamente, ¿qué porcentaje de estudiantes migrantes tiene en sus cursos de este colegio?",,,,,,,,,,
,note,mig_curso,,,,,¿Tiene estudiantes de los siguientes grupos en sus cursos de este colegio?,,,,,,,,,,
space_bottom_15 mc_width100,mc_heading mig_curso,choice_listmig_curso,,,,,,,,,,,,,,,
